OrderID,Date,Region,Product,Quantity,Price
1001,2024-01-01,North,Laptop,2,55000
1002,2024-01-01,South,Mobile,5,15000
1003,2024-01-01,East,Tablet,3,22000
1004,2024-01-02,West,Laptop,1,55000
1005,2024-01-02,North,Mobile,4,15000
1006,2024-01-02,South,Laptop,2,55000
1007,2024-01-03,East,Mobile,6,15000
1008,2024-01-03,West,Tablet,2,22000
1009,2024-01-03,North,Laptop,1,55000
1010,2024-01-04,South,Tablet,3,22000
1011,2024-01-04,East,Laptop,2,55000
1012,2024-01-04,West,Mobile,5,15000
1013,2024-01-05,North,Tablet,4,22000
1014,2024-01-05,South,Laptop,3,55000
1015,2024-01-05,East,Mobile,2,15000
1016,2024-01-06,West,Laptop,1,55000
1017,2024-01-06,North,Mobile,6,15000
1018,2024-01-06,South,Tablet,2,22000
1019,2024-01-07,East,Laptop,2,55000
1020,2024-01-07,West,Mobile,3,15000
1021,2024-01-07,North,Tablet,1,22000
1022,2024-01-08,South,Laptop,4,55000
1023,2024-01-08,East,Mobile,5,15000
1024,2024-01-08,West,Tablet,2,22000
1025,2024-01-09,North,Laptop,3,55000
1026,2024-01-09,South,Mobile,4,15000
1027,2024-01-09,East,Tablet,3,22000
1028,2024-01-10,West,Laptop,2,55000
1029,2024-01-10,North,Mobile,5,15000
1030,2024-01-10,South,Tablet,1,22000
1031,2024-01-11,East,Laptop,4,55000
1032,2024-01-11,West,Mobile,3,15000
1033,2024-01-11,North,Tablet,2,22000
1034,2024-01-12,South,Laptop,1,55000
1035,2024-01-12,East,Mobile,6,15000
1036,2024-01-12,West,Tablet,4,22000
1037,2024-01-13,North,Laptop,2,55000
1038,2024-01-13,South,Mobile,3,15000
1039,2024-01-13,East,Tablet,1,22000
1040,2024-01-14,West,Laptop,3,55000
1041,2024-01-14,North,Mobile,4,15000
1042,2024-01-14,South,Tablet,2,22000
1043,2024-01-15,East,Laptop,2,55000
1044,2024-01-15,West,Mobile,5,15000
1045,2024-01-15,North,Tablet,3,22000
1046,2024-01-16,South,Laptop,4,55000
1047,2024-01-16,East,Mobile,2,15000
1048,2024-01-16,West,Tablet,1,22000
1049,2024-01-17,North,Laptop,3,55000
1050,2024-01-17,South,Mobile,6,15000
1051,2024-01-17,East,Tablet,2,22000
1052,2024-01-18,West,Laptop,1,55000
1053,2024-01-18,North,Mobile,5,15000
1054,2024-01-18,South,Tablet,3,22000
1055,2024-01-19,East,Laptop,4,55000
1056,2024-01-19,West,Mobile,2,15000
1057,2024-01-19,North,Tablet,1,22000
1058,2024-01-20,South,Laptop,2,55000
1059,2024-01-20,East,Mobile,3,15000
1060,2024-01-20,West,Tablet,4,22000
1061,2024-01-21,North,Laptop,1,55000
1062,2024-01-21,South,Mobile,4,15000
1063,2024-01-21,East,Tablet,2,22000
1064,2024-01-22,West,Laptop,3,55000
1065,2024-01-22,North,Mobile,5,15000
1066,2024-01-22,South,Tablet,1,22000
1067,2024-01-23,East,Laptop,2,55000
1068,2024-01-23,West,Mobile,6,15000
1069,2024-01-23,North,Tablet,4,22000
1070,2024-01-24,South,Laptop,3,55000
1071,2024-01-24,East,Mobile,2,15000
1072,2024-01-24,West,Tablet,1,22000
1073,2024-01-25,North,Laptop,4,55000
1074,2024-01-25,South,Mobile,5,15000
1075,2024-01-25,East,Tablet,3,22000
1076,2024-01-26,West,Laptop,2,55000
1077,2024-01-26,North,Mobile,6,15000
1078,2024-01-26,South,Tablet,4,22000
1079,2024-01-27,East,Laptop,1,55000
1080,2024-01-27,West,Mobile,3,15000
1081,2024-01-27,North,Tablet,2,22000
1082,2024-01-28,South,Laptop,4,55000
1083,2024-01-28,East,Mobile,5,15000
1084,2024-01-28,West,Tablet,3,22000
1085,2024-01-29,North,Laptop,2,55000
1086,2024-01-29,South,Mobile,4,15000
1087,2024-01-29,East,Tablet,1,22000
1088,2024-01-30,West,Laptop,3,55000
1089,2024-01-30,North,Mobile,5,15000
1090,2024-01-30,South,Tablet,2,22000
1091,2024-01-31,East,Laptop,4,55000
1092,2024-01-31,West,Mobile,6,15000
1093,2024-01-31,North,Tablet,3,22000
1094,2024-02-01,South,Laptop,2,55000
1095,2024-02-01,East,Mobile,4,15000
1096,2024-02-01,West,Tablet,1,22000
1097,2024-02-02,North,Laptop,3,55000
1098,2024-02-02,South,Mobile,5,15000
1099,2024-02-02,East,Tablet,2,22000
1100,2024-02-02,West,Laptop,1,55000
